Date ,Open,High,Low,Last,Close,Volume,Value
10-May-2022,229.95,234.5,220.65,221.4,222.15,30274946,"6,891,364,247.35"
09-May-2022,235,236.5,223.05,229.95,230,60959066,"13,971,123,200.15"
06-May-2022,243,247,240.65,246.95,245.2,28044381,"6,830,458,434.65"
05-May-2022,248.95,251.3,244.95,247.3,247.5,24304759,"6,036,269,744.90"
04-May-2022,249.85,254.2,242.85,246,244.95,30780217,"7,675,753,086.30"
02-May-2022,240,249.65,238.4,248.55,248.5,26535475,"6,485,594,962.20"
29-Apr-2022,250.9,253.2,240.85,242.35,242.35,26234765,"6,487,693,620.45"
28-Apr-2022,250.9,250.9,244.4,249.45,248.25,20911099,"5,165,250,249.45"
27-Apr-2022,247.8,255.25,245.5,247.65,247.35,32027943,"7,997,604,563.90"
26-Apr-2022,251.15,251.45,248.05,248.9,248.85,17965504,"4,484,827,956.55"
25-Apr-2022,248,251.55,244.7,248.2,247.35,24620801,"6,099,440,403.75"
22-Apr-2022,258,259,252.3,253.5,253.1,30569068,"7,817,486,817.60"
21-Apr-2022,253,260.2,250.7,258.8,258.85,40617734,"10,404,445,973.60"
20-Apr-2022,250,254.7,246.55,250.45,249.65,41573598,"10,430,649,850.50"
19-Apr-2022,260.5,262,242.5,244.2,246.45,53483065,"13,499,545,024.20"
18-Apr-2022,267.9,267.9,252,258,257.9,89819229,"23,299,679,925.50"
13-Apr-2022,278.6,280.3,272.3,273.05,273.1,31460232,"8,670,799,426.25"
12-Apr-2022,283.35,283.35,271.6,275.65,275.15,44771140,"12,370,508,255.15"
11-Apr-2022,281,288.45,280.35,283.25,282.9,47972951,"13,660,633,197.95"
08-Apr-2022,280.9,282.8,273.05,278.6,278.1,64353330,"17,915,706,161.30"
07-Apr-2022,292.35,298.05,276,278.3,277.8,151174247,"43,399,605,191.55"
06-Apr-2022,275.95,296.5,273.1,288.85,289.8,227551020,"65,441,396,611.40"
05-Apr-2022,253.85,275.25,252.1,273.95,273.6,94568156,"25,159,945,585.65"
04-Apr-2022,247.15,253.55,246.1,251.9,251.95,39380622,"9,864,584,841.10"
01-Apr-2022,237.65,246.35,237.1,245.8,245.45,25666798,"6,253,079,767.20"
31-Mar-2022,242.9,242.9,237.65,238.4,238.65,13956014,"3,343,022,788.60"
30-Mar-2022,240.95,244.9,237.75,241.1,241.7,22893839,"5,521,913,064.75"
29-Mar-2022,243.6,244.9,238.5,238.8,239.1,20061075,"4,843,640,946.20"
28-Mar-2022,242.55,244,237.45,239.5,239.6,14835527,"3,562,820,880.05"
25-Mar-2022,240,244.3,239.2,241.5,241.35,24286187,"5,868,649,881.10"
24-Mar-2022,234,241,232.95,239.65,239.5,31525902,"7,524,473,355.05"
23-Mar-2022,232.35,237.45,231.65,234.15,234.3,29507641,"6,940,485,735.65"
22-Mar-2022,229.1,231.9,226.3,231.8,231.4,14893566,"3,412,695,062.95"
21-Mar-2022,232.95,233.4,227.35,228.2,227.95,12356508,"2,852,691,603.20"
17-Mar-2022,233.6,233.95,231.3,232,231.75,16453329,"3,821,285,895.65"
16-Mar-2022,230,231.7,229.05,230.3,230.45,12428032,"2,861,989,308.35"
15-Mar-2022,231.95,233.3,225.3,227,227.4,16150855,"3,708,595,406.10"
14-Mar-2022,233.1,234.65,230.55,231.8,231.55,12074559,"2,801,696,628.40"
11-Mar-2022,231.9,234.25,230.3,233.55,233.15,18163055,"4,231,345,390.75"
10-Mar-2022,235,235.85,229.9,231.95,232.25,25462569,"5,940,352,326.00"
09-Mar-2022,229.1,231.2,226.3,229.5,229.25,25437632,"5,814,956,383.50"
08-Mar-2022,215,227.8,214.6,226.85,226.95,41105290,"9,238,763,817.25"
07-Mar-2022,217,219.7,212.25,216.8,216.2,23498823,"5,062,584,517.50"
04-Mar-2022,225,226.45,220.8,221.5,221.45,22427429,"5,010,959,376.45"
03-Mar-2022,229,230.55,225.9,226.75,226.6,22429798,"5,109,775,880.70"
02-Mar-2022,220,227.25,218.4,225.8,225.4,28297089,"6,367,739,184.90"
28-Feb-2022,217.5,224.35,214.1,223,223.05,35508015,"7,806,321,451.50"
25-Feb-2022,210,221.3,209.55,220.5,220,52157687,"11,373,743,532.85"
24-Feb-2022,213,216.15,203.25,205.15,204.3,60097152,"12,552,870,132.90"
23-Feb-2022,226,226.8,220.35,221.6,221.2,23583042,"5,274,386,039.90"
22-Feb-2022,218,224.85,217.3,223.2,222.65,29360421,"6,506,952,723.70"
21-Feb-2022,224,227.65,222.25,224.8,225,24657963,"5,550,346,535.65"
18-Feb-2022,227,230,224.65,226.05,225.75,18717812,"4,259,906,681.10"
17-Feb-2022,233.35,233.85,227,228.15,227.75,23381354,"5,389,661,246.65"
16-Feb-2022,233.4,236.9,230.1,230.5,231.35,35144286,"8,230,319,741.80"
